vehicle_id,vehicle_tier,driver_name,route,speed_kmh,fuel_level_pct,fuel_efficiency_kmpl,engine_health_score,cargo_weight_kg,engine_rpm,speed_category,fuel_status,is_night_shift,is_anomaly,alert_severity
GT-009,OLD,Mahesh Iyer,Nashik-Nagpur,70.55,32.09,21.26,78.5,4367,3464,FAST,LOW,0,0,NONE
GT-050,NEW,Manoj Gupta,Kolhapur-Mumbai,52.95,60.57,51.71,92.1,6355,1631,MODERATE,NORMAL,0,0,NONE
GT-018,MID,Manoj Gupta,Pune-Nagpur,81.02,44.88,48.08,80.1,3342,2945,FAST,LOW,0,0,NONE
GT-022,MID,Mukesh Singh,Pune-Aurangabad,76.01,74.63,23.84,80.5,4311,2604,FAST,NORMAL,1,0,NONE
GT-040,NEW,Pradeep Nair,Mumbai-Nagpur,61.15,63.87,98.15,92.9,7461,1801,FAST,NORMAL,0,0,NONE
GT-042,NEW,Vikram Sharma,Mumbai-Solapur,34.22,69.91,29.55,86.0,6934,1856,MODERATE,NORMAL,0,0,NONE
GT-031,MID,Mahesh Iyer,Mumbai-Goa,37.47,37.29,14.32,89.1,2158,2999,MODERATE,LOW,0,0,NONE
GT-026,MID,Deepak Tiwari,Kolhapur-Mumbai,39.71,65.81,19.03,89.2,8964,2014,MODERATE,NORMAL,0,0,NONE
GT-010,OLD,Rajesh Kumar,Mumbai-Nagpur,38.37,52.39,6.63,73.9,3131,3810,MODERATE,NORMAL,0,0,NONE
GT-004,OLD,Rajesh Kumar,Mumbai-Goa,98.06,30.34,31.97,69.1,1430,3514,OVERSPEEDING,LOW,1,0,NONE
GT-001,OLD,Amit Singh,Aurangabad-Kolhapur,60.42,38.22,10.88,72.3,1870,2473,FAST,LOW,0,0,NONE
GT-033,MID,Santosh Joshi,Nashik-Nagpur,42.98,32.82,16.89,82.8,6161,2862,MODERATE,LOW,0,0,NONE
GT-039,NEW,Rohit Chauhan,Pune-Nashik,76.8,87.72,62.39,97.5,3952,1342,FAST,NORMAL,1,0,NONE
GT-001,OLD,Naresh Bhatia,Nashik-Aurangabad,57.83,48.89,9.36,86.0,3219,2302,MODERATE,LOW,0,0,NONE
GT-027,MID,Umesh Kapoor,Pune-Aurangabad,77.11,56.92,23.61,81.8,7296,2252,FAST,NORMAL,1,0,NONE
GT-003,OLD,Bharat Sharma,Mumbai-Aurangabad,56.09,63.24,10.89,72.6,4868,3209,MODERATE,NORMAL,0,0,NONE
GT-044,NEW,Harish Tomar,Aurangabad-Kolhapur,39.16,91.76,24.38,92.0,1986,1895,MODERATE,NORMAL,0,0,NONE
GT-006,OLD,Ganesh Rao,Mumbai-Goa,119.79,21.67,28.41,70.5,7585,3402,OVERSPEEDING,LOW,1,1,CRITICAL
GT-014,OLD,Bharat Sharma,Mumbai-Pune,42.86,43.4,7.34,78.4,5352,2805,MODERATE,LOW,0,0,NONE
GT-003,OLD,Vikram Sharma,Mumbai-Solapur,105.75,33.1,29.37,73.1,5047,2942,OVERSPEEDING,LOW,1,1,WARNING
GT-012,OLD,Rajesh Kumar,Pune-Nashik,107.22,26.5,19.84,78.4,5756,2990,OVERSPEEDING,LOW,1,1,WARNING
GT-026,MID,Ganesh Rao,Mumbai-Goa,118.46,40.51,44.04,88.5,4929,2211,OVERSPEEDING,LOW,1,1,CRITICAL
GT-041,NEW,Satish Kumar,Pune-Nashik,58.78,74.26,84.33,94.5,2267,1413,MODERATE,NORMAL,0,0,NONE
GT-044,NEW,Suresh Yadav,Solapur-Nagpur,77.89,91.9,45.34,91.4,5033,1837,FAST,NORMAL,0,0,NONE
GT-049,NEW,Pradeep Nair,Nashik-Nagpur,74.28,87.11,48.3,100.0,542,1127,FAST,NORMAL,0,0,NONE
GT-020,MID,Ravi Patel,Solapur-Nagpur,39.29,56.75,12.41,84.8,804,2604,MODERATE,NORMAL,0,0,NONE
GT-049,NEW,Ravi Patel,Pune-Nagpur,70.83,73.52,93.69,100.0,2328,1483,FAST,NORMAL,0,0,NONE
GT-031,MID,Lokesh Verma,Pune-Solapur,74.05,54.19,24.45,85.6,8898,2841,FAST,NORMAL,1,0,NONE
GT-002,OLD,Ramesh Pandey,Mumbai-Goa,46.54,63.44,14.32,71.1,1347,3711,MODERATE,NORMAL,0,0,NONE
GT-048,NEW,Anil Dubey,Pune-Aurangabad,54.1,72.13,47.41,100.0,1065,1334,MODERATE,NORMAL,0,0,NONE
GT-036,NEW,Rohit Chauhan,Nagpur-Aurangabad,31.5,56.9,25.0,90.8,4954,2136,MODERATE,NORMAL,0,0,NONE
GT-029,MID,Ganesh Rao,Mumbai-Nagpur,66.13,56.43,28.43,88.7,8385,2343,FAST,NORMAL,0,0,NONE
GT-006,OLD,Ramesh Pandey,Mumbai-Aurangabad,30.56,32.34,7.63,62.0,2639,3643,MODERATE,LOW,0,0,NONE
GT-007,OLD,Pradeep Nair,Mumbai-Nashik,58.62,50.85,14.55,67.7,6566,3419,MODERATE,NORMAL,0,0,NONE
GT-004,OLD,Navin Joshi,Mumbai-Nashik,43.28,17.09,7.46,69.3,3815,3731,MODERATE,CRITICAL,0,0,NONE
GT-039,NEW,Deepak Tiwari,Nashik-Nagpur,42.1,71.59,48.34,93.2,871,1321,MODERATE,NORMAL,0,0,NONE
GT-036,NEW,Satish Kumar,Nashik-Nagpur,54.22,67.02,52.03,95.4,1721,1597,MODERATE,NORMAL,0,0,NONE
GT-020,MID,Sanjay Mishra,Pune-Aurangabad,32.46,74.71,9.99,82.8,3419,2632,MODERATE,NORMAL,0,0,NONE
GT-009,OLD,Rajesh Kumar,Pune-Nagpur,45.23,42.37,9.34,71.1,9545,3933,MODERATE,LOW,0,0,NONE
GT-016,OLD,Mahesh Iyer,Pune-Solapur,38.35,31.57,10.75,72.5,2128,2960,MODERATE,LOW,0,0,NONE
GT-043,NEW,Prem Chauhan,Pune-Nashik,84.13,66.16,102.85,96.2,8078,1125,FAST,NORMAL,1,0,NONE
GT-028,MID,Harish Tomar,Nashik-Nagpur,77.7,69.06,32.69,80.1,2655,2606,FAST,NORMAL,0,0,NONE
GT-042,NEW,Prem Chauhan,Mumbai-Nashik,78.11,95.88,107.74,96.7,9088,1820,FAST,NORMAL,0,0,NONE
GT-026,MID,Anil Dubey,Nashik-Nagpur,103.84,48.68,31.16,88.2,9672,2474,OVERSPEEDING,LOW,1,1,WARNING
GT-042,NEW,Prem Chauhan,Mumbai-Nashik,70.47,92.06,70.9,90.4,6216,1477,FAST,NORMAL,0,0,NONE
GT-034,MID,Amit Singh,Pune-Kolhapur,79.4,68.88,24.43,84.1,7438,2158,FAST,NORMAL,1,0,NONE
GT-034,MID,Ravi Patel,Nagpur-Aurangabad,38.36,69.32,12.11,85.4,2227,2272,MODERATE,NORMAL,0,0,NONE
GT-012,OLD,Mahesh Iyer,Mumbai-Nashik,43.3,59.41,7.56,74.5,576,2965,MODERATE,NORMAL,0,0,NONE
GT-041,NEW,Amit Singh,Pune-Solapur,114.73,69.84,79.23,95.2,6246,1103,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-002,OLD,Anil Dubey,Pune-Nagpur,40.66,25.58,12.41,61.7,2774,3745,MODERATE,LOW,0,0,NONE
GT-022,MID,Dinesh Shukla,Solapur-Nagpur,44.29,59.63,13.7,74.0,1265,2599,MODERATE,NORMAL,0,0,NONE
GT-025,MID,Arjun Verma,Solapur-Nagpur,66.77,77.81,25.16,81.6,6016,2134,FAST,NORMAL,0,0,NONE
GT-005,OLD,Pradeep Nair,Mumbai-Aurangabad,87.07,29.99,19.64,76.0,4226,3893,FAST,LOW,1,0,NONE
GT-031,MID,Prem Chauhan,Pune-Nashik,70.47,47.77,25.53,86.6,3730,2847,FAST,LOW,1,0,NONE
GT-038,NEW,Navin Joshi,Aurangabad-Kolhapur,79.52,76.13,69.21,99.5,4087,1084,FAST,NORMAL,0,0,NONE
GT-040,NEW,Naresh Bhatia,Pune-Nashik,117.56,77.39,100.74,95.9,3200,1793,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-018,MID,Ramesh Pandey,Pune-Aurangabad,65.69,76.34,23.11,84.2,8751,2566,FAST,NORMAL,0,0,NONE
GT-047,NEW,Pradeep Nair,Pune-Kolhapur,40.23,75.26,25.54,100.0,2105,1887,MODERATE,NORMAL,0,0,NONE
GT-036,NEW,Deepak Tiwari,Mumbai-Goa,72.03,88.58,45.22,98.4,2112,1760,FAST,NORMAL,0,0,NONE
GT-002,OLD,Harish Tomar,Pune-Nashik,77.85,42.45,14.05,67.7,4966,3544,FAST,LOW,0,0,NONE
GT-004,OLD,Mukesh Singh,Kolhapur-Mumbai,53.93,38.43,11.83,64.9,8711,3627,MODERATE,LOW,0,0,NONE
GT-038,NEW,Dinesh Shukla,Nashik-Aurangabad,30.29,78.84,47.63,98.1,9143,1270,MODERATE,NORMAL,0,0,NONE
GT-007,OLD,Naresh Bhatia,Kolhapur-Mumbai,82.45,20.34,14.24,71.7,4561,3545,FAST,LOW,1,0,NONE
GT-006,OLD,Deepak Tiwari,Pune-Solapur,87.16,39.85,22.24,67.7,2315,3339,FAST,LOW,1,0,NONE
GT-007,OLD,Mukesh Singh,Mumbai-Aurangabad,46.28,17.39,7.28,76.9,7231,3525,MODERATE,CRITICAL,0,0,NONE
GT-007,OLD,Vinod Yadav,Kolhapur-Mumbai,97.38,34.07,31.7,73.6,6660,3206,OVERSPEEDING,LOW,1,0,NONE
GT-031,MID,Ramesh Pandey,Pune-Nagpur,80.8,51.01,36.58,74.7,781,2934,FAST,NORMAL,1,0,NONE
GT-027,MID,Ramesh Pandey,Aurangabad-Kolhapur,71.1,65.0,21.62,80.7,8111,2754,FAST,NORMAL,1,0,NONE
GT-033,MID,Rakesh Gupta,Aurangabad-Kolhapur,71.71,74.37,45.73,86.0,6229,2441,FAST,NORMAL,0,0,NONE
GT-038,NEW,Satish Kumar,Goa-Pune,56.63,63.05,37.11,96.1,8875,992,MODERATE,NORMAL,0,0,NONE
GT-028,MID,Ramesh Pandey,Pune-Aurangabad,43.28,63.6,16.24,82.3,2368,2254,MODERATE,NORMAL,0,0,NONE
GT-043,NEW,Pradeep Nair,Pune-Nagpur,67.86,88.36,48.96,97.4,7527,1081,FAST,NORMAL,0,0,NONE
GT-036,NEW,Rohit Chauhan,Pune-Kolhapur,84.03,57.97,48.43,97.2,4172,2143,FAST,NORMAL,1,0,NONE
GT-028,MID,Ravi Patel,Mumbai-Nashik,110.4,48.73,57.23,81.9,4731,2661,OVERSPEEDING,LOW,1,1,CRITICAL
GT-003,OLD,Navin Joshi,Pune-Solapur,43.74,35.06,11.23,66.6,3539,3076,MODERATE,LOW,0,0,NONE
GT-007,OLD,Bharat Sharma,Mumbai-Nagpur,97.52,22.28,23.01,71.5,1597,3399,OVERSPEEDING,LOW,1,0,NONE
GT-050,NEW,Ramesh Pandey,Mumbai-Aurangabad,47.23,66.12,49.35,91.4,7490,2069,MODERATE,NORMAL,0,0,NONE
GT-027,MID,Navin Joshi,Pune-Nagpur,76.85,55.37,22.33,85.7,1085,1755,FAST,NORMAL,1,0,NONE
GT-045,NEW,Rakesh Gupta,Mumbai-Pune,101.44,74.81,66.34,95.1,2944,1990,OVERSPEEDING,NORMAL,1,1,WARNING
GT-026,MID,Harish Tomar,Pune-Solapur,67.35,53.26,24.62,85.8,9794,2129,FAST,NORMAL,0,0,NONE
GT-004,OLD,Rohit Chauhan,Mumbai-Nagpur,91.61,49.39,27.21,61.9,7924,4099,OVERSPEEDING,LOW,1,0,NONE
GT-014,OLD,Prakash Nair,Pune-Nashik,46.81,60.97,8.15,71.1,7090,3216,MODERATE,NORMAL,0,0,NONE
